key;from;to
list.description.fans;"Nous vous invitons à demander aux membres que vous placerez dans cette liste, de vous envoyer un cadeau par mois pour rester dans votre ""fan list"". De cette façon, votre fan club peut vous rapporter gros!";
list.description.to_know;"Nous vous invitons à placer dans cette liste les membres ""intéressants"" qui vous ont fait une demande";
list.name.blocked;Utilisateurs bloqués;
list.name.circle1;Cercle1;
list.name.family;Famille;
list.name.fans1;Fans1;
list.name.friends;Amis;
list.name.professionals;Liste pro;
list.name.retailers;Commerçants;
list.name.to_know;À connaitre;
apply;Appliquer;
post;Poster;
firstWelcomeNotification.introduction;Tout d'abord, une petite présentation 🧙;
firstWelcomeNotification.welcomeMessage;"Bienvenue <span class=""username"">{name}</span>, vous êtes le membre n°{userId}.";
back;Précédent;
house.block_me;Vous a bloqué;
house.blocked;Utilisateur bloqué;
house.flash;Demande;
house.flashes;Demandes;
house.return_to_myhouse;Retourner à ma maison;
house.simulate_other_house;Voir comme un utilisateur;
house.user_in_list;Présent dans;
house.waiting;Demande en attente;
show_original;Voir l'original;
stats.daily_stats.new_signups;Nouvelles incriptions;
stats.daily_stats.reports;Publications Signalées;
stats.daily_stats.title;Statistiques journalières;
stats.days;jours;
stats.houses_use.count;Nb;
stats.houses_use.house;Maison;
stats.houses_use.title;Utilisation des maisons;
stats.houses_use.type;Type d'utilisateur;
stats.today;Aujourd’hui;
stats.unlimited;illimité;
stats.yesterday;Hier;
save;Sauvegarder;
login;Connexion;
admin.delete.message;Êtes-vous sûr de vouloir supprimer ce contenu ?;
admin.delete.title;Confirmer la suppression;
admin.delete_user.message;Êtes-vous sûr de vouloir supprimer ce compte ?;
admin.delete_user.title;Confirmer la suppression;
admin.ignore.message;Êtes-vous sûr de vouloir ignorer ce signalement ?;
admin.ignore.title;Ignorer le signalement;
admin.ignored;Signalement ignoré.;
admin.report.content;Contenu;
admin.report.count;Nb;
admin.report.type;Type;
admin.report.user;Utilisateur;
admin.reported_count;Contenu signalé {count} fois;
admin.reports;Signalements;
admin.reports_deleted;{count} contenus supprimés;
admin.view_comment;Voir le commentaire;
admin.view_message;Voir la conversation;
admin.view_photo;Voir la photo;
admin.view_post;Voir la discussion;
admin.view_status;Voir le status;
me;Moi;
sex.bakery;Boulangerie;
sex.barnuit;Bar de nuit;
sex.beauty;Esthétique;
sex.butchery;Boucherie;
sex.cafe;Café;
sex.celebrity;Célébrité;
sex.clothes;Vêtements;
sex.discotheque;Discothèque;
sex.electrician;Electricien;
sex.fastfood;Fast food;
sex.female;Femme;
sex.florist;Fleuriste;
sex.hotel;Hôtel;
sex.jewelry;Joaillerie;
sex.male;Homme;
sex.market;Marché;
sex.other;Autre;
sex.plumbing;Plomberie;
sex.renovation;Rénovation;
sex.restaurant;Restaurant;
sex.stylist;Coiffeur;
sex.taxi;Taxi;
sex.vtc;VTC;
notifications.forgotten_password;Email de réinitialisation de votre mot de passe envoyé à l'adresse {email}.;
block_user.block;Bloquer;
block_user.blocked;Utilisateur bloqué!;
block_user.blockedBy;"Vous avez été bloqué par {name} et il a automatiquement été bloqué en retour. \n Vous n'avez plus accès à ses status, photos et commentaires. Vous ne pouvez plus lui envoyer de demande. \n Pour vous débloquez, chacun devra retirer l'autre de sa liste d'utilisateurs bloqués.";
block_user.details;{name} sera prévenu de son blocage et vous serez automatiquement bloqué en retour. Pour vous débloquez, chacun devra retirer l'autre de sa liste d'utilisateurs bloqués.;
block_user.text;{name} n'aura plus accès à vos status, photos et commentaires. Il ne pourra plus vous envoyer de demande.;
block_user.title;Bloquer {name};
create;Créer;
profile.not_rated;Non noté;
profile.personality;Personnalité;
profile.physical;Physique;
profile.rate;Notes reçues;
profile.update;Mise à jour;
send_flash;Ajouter;
forgotten_password;Mot de passe oublié;
rate;Noter;
register;Inscription;
filter;Filtrer;
sharing;Partage de;
reply;Répondre;
status.message;Statut :;
response.ethnicity.african;africaine;
response.ethnicity.asian;asiatique;
response.ethnicity.australian;australienne;
response.ethnicity.european;européenne;
response.ethnicity.indian;indienne;
response.ethnicity.native_american;amérindienne;
response.ethnicity.oceanian;océanique;
response.ethnicity.other;autre;
response.ethnicity.russian;russe;
response.ethnicity.turkish;turque;
response.eye_color.blue;bleus;
response.eye_color.brown;bruns;
response.eye_color.green;verts;
response.eye_color.wall;vairons;
response.family.brother;frère;
response.family.cousin;cousin;
response.family.daughter;fille;
response.family.father;père;
response.family.granddaughter;petite-fille;
response.family.grandfather;grand-père;
response.family.grandmother;grand-mère;
response.family.grandson;petit-fils;
response.family.mother;mère;
response.family.sister;soeur;
response.family.son;fils;
response.fashion_style.athletic;sportif;
response.fashion_style.marginal;marginal;
response.fashion_style.relaxed;relaxé;
response.fashion_style.sophisticated;rafiné;
response.hair_color.black;noir;
response.hair_color.blond;blond;
response.hair_color.dark_bond;chatain;
response.hair_color.extrovert;extraverti;
response.hair_color.grey;gris;
response.hair_color.red_hair;roux;
response.hair_color.white;blanc;
response.hair_size.long;longs;
response.hair_size.semi_long;mi-longs;
response.hair_size.shaved;rasé;
response.hair_size.short;courts;
response.hair_type.frizzy;frisés;
response.hair_type.kinky;crépus;
response.hair_type.silky;soyeux;
response.hair_type.straight;raides;
response.hair_type.thick;épais;
response.hair_type.thin;fins;
response.hair_type.wavy;ondulés;
response.interests.art;art;
response.interests.board_game;jeux de société;
response.interests.cinema;cinéma;
response.interests.computer;informatique;
response.interests.cooking;cooking;
response.interests.craft;bricolage;
response.interests.decoration;décoration;
response.interests.friend;amis;
response.interests.history;histoire;
response.interests.holidays;vacances;
response.interests.music;musique;
response.interests.nature;nature;
response.interests.other;autre;
response.interests.painting;peinture;
response.interests.pets;animaux;
response.interests.photography;photographie;
response.interests.politics;politique;
response.interests.reading;lecture;
response.interests.restaurant;restaurant;
response.interests.shopping;shopping;
response.interests.sport;sport;
response.interests.theater;théatre;
response.interests.traveling;voyages;
response.interests.video_games;jeu vidéo;
response.money.gambler;flambeur;
response.money.moderate;modéré;
response.money.spender;dépensier;
response.money.thrifty;économe;
response.money.tightfisted;radin;
response.planned.afternoon;cette après-midi;
response.planned.autumn_holidays;ces vacances d'automne;
response.planned.christmas_holidays;ces vacances de Noël;
response.planned.dinner;ce diner;
response.planned.evening;ce soir;
response.planned.morning;ce matin;
response.planned.new_year_holidays;ces vacances de nouvel an;
response.planned.night;cette nuit;
response.planned.noon;ce midi;
response.planned.spring_holidays;ces vacances de printemps;
response.planned.summer_holidays;ces vacances d'été;
response.planned.week;cette semaine;
response.planned.weekend;ce week-end;
response.planned.winter_holidays;ces vacances d'hiver;
response.sexual_orientation.bi;bisexuel;
response.sexual_orientation.curious;curieux(se);
response.sexual_orientation.gay;gay;
response.sexual_orientation.lesbian;lesbienne;
response.sexual_orientation.other;autre;
response.sexual_orientation.straight;hétéro;
response.status.boyfriend;boyfriend;
response.status.change_message;Votre situation matrimoniale a bien été modifiée;
response.status.civil_partnership;pacsé;
response.status.cohabitant;concubin(e);
response.status.free_union;union libre;
response.status.girlfriend;girlfriend;
response.status.married;marié(e);
response.status.single;célibataire;
buy;Acheter;
baseline;Organise ton univers!;
modal.withdraw.account;Compte bancaire;
modal.withdraw.add_account;Ajouter un compte bancaire;
modal.withdraw.amount;Montant;
modal.withdraw.disabled_accounts;Comptes bancaire désactivés;
modal.withdraw.fees;Frais;
modal.withdraw.select_account;Sélectionner un compte bancaire;
modal.withdraw.success;Votre virement a été effectué;
modal.withdraw.total;Total;
modal.inventory_convert.confirm;Etes-vous sûre de convertir ce cadeau?;
modal.inventory_convert.credit_left;Vous pouvez ajouter des objets à votre conversion, si vous validez, ce montant sera perdu.;
modal.inventory_convert.from;À convertir;
modal.inventory_convert.no_result;Aucune conversion possible pour cet objet.;
modal.inventory_convert.remaining;Restant :;
modal.inventory_convert.select_new_gifts;Sectionnez les nouveaux objets que vous souhaitez obtenir.;
modal.inventory_convert.title;Conversion;
modal.inventory_convert.to;Résultat;
modal.filters.age;âge;
modal.filters.lists;Filtrer par listes;
modal.filters.more;Plus de critères;
modal.filters.no_filter;Aucun filtre;
modal.filters.professionals;Filtres professionnels;
modal.filters.searches;Filtrer par recherches;
modal.filters.title;Qui va apparaitre sur la carte;
modal.filters.users;Filtres utilisateurs;
modal.activities.answer;"<span class=""username"">{name}</span> a répondu à votre commentaire :";
modal.activities.comment;"<span class=""username"">Vous</span> avez commenté <span class=""username"">{target}</span> de <span class=""username"">{name}</span> :";
modal.activities.comment_my_activity;"<span class=""username"">Vous</span> avez commenté <span class=""username"">{target}</span> :";
modal.activities.load_more;Charger plus d'activités;
modal.activities.mentions;"<span class=""username"">{name}</span> vous a identifié dans <span class=""username"">{target}</span> :";
modal.activities.rate;"<span class=""username"">Vous</span> avez noté <span class=""username"">{target}</span> de <span class=""username"">{name}</span> :";
modal.activities.user_comment_my_activity;"<span class=""username"">{name}</span> a commenté <span class=""username"">{target}</span> :";
modal.rate_field.it_title;Note de l'utilisateur;
modal.rate_field.my_title;Note des utilisateurs;
modal.rate_field.title;Noter {name};
modal.my_lists.add;Ajouter une liste;
modal.my_lists.new;Nouvelle liste;
modal.my_lists.title;Mes Listes;
modal.account.confirm;Êtes-vous sûr de vouloir supprimer votre compte ?;
modal.account.delete;Supprimer mon compte;
modal.account.deleted;Votre compte a été supprimé;
modal.account.title;Mon compte;
modal.inventory_sell.from;À vendre;
modal.inventory_sell.kyc.message;Pour pouvoir vendre vos cadeaux, vous devez valider votre identité.;
modal.inventory_sell.kyc.title;Valider mon identité;
modal.my_flashs.sent;"<span class=""username"">{name}</span> vous a envoyé une demande:";
modal.my_flashs.title;Mes Demandes;
modal.rate_photo.my_title;Note de ma photo;
modal.rate_photo.title;Noter la photo;
modal.my_photos.add;Ajouter une photo;
modal.my_photos.add_album;Créer un album;
modal.my_photos.confirm_new_album;Nouvel album créé;
modal.my_photos.new_album;Nouvel album;
modal.my_photos.title;Mes photos;
modal.rate_request.title;Demandes d'évaluation;
modal.rate_request.validation;Votre note a bien été enregistrée;
modal.inventory_from.bought;Vous en possédez {count} que vous avez acheté;
modal.inventory_from.title;Offert par;
modal.saved_search.no_saved_search;Aucune recherche sauvegardée;
modal.saved_search.title;Recherches Favorites;
modal.profile.member;{name} est le membre n°{userId};
modal.profile.title;Infos;
modal.rate.average;Moyenne;
modal.credits.credit;crédit;
modal.credits.credits;crédits;
modal.credits.title;Achat de crédits;
modal.edit_photo.title;Photo;
modal.rate_status.title;Noter le statut;
modal.status.delete_card;Supprimer l'aperçu;
modal.status.loading_card;Chargement de l'aperçu...;
modal.status.new;Nouveau statut;
modal.status.open_link;Ouvrir;
modal.status.publish;"<span class=""username"">{name}</span> a publié un statut :";
modal.status.title;Statut;
modal.discussions.explore_public;Explorer les discussions publiques;
modal.discussions.join.confirm;Êtes-vous sûr de vouloir rejoindre cette discussion ?;
modal.discussions.join.requested;Demande envoyée;
modal.discussions.join.title;Rejoindre;
modal.discussions.join.waiting;Demande en attente;
modal.discussions.new;Nouvelle discussion;
modal.discussions.people;Participants;
modal.discussions.public;Discussions Publiques;
modal.discussions.title;Discussions;
modal.my_profile.company;Entreprise;
modal.my_profile.location;Localisation;
modal.my_profile.max_show_data;Vous ne pouvez pas afficher plus de 3 informations sur votre pancarte;
modal.my_profile.member;Vous êtes le membre n°{userId};
modal.my_profile.title;Mes infos;
modal.inventory.buy_gifts;Acheter des cadeaux;
modal.inventory.cash;Encaisser;
modal.inventory.confirm.message;Le cadeau #{gift_id} a été offert au client.;
modal.inventory.confirm.title;Cadeau récupéré;
modal.inventory.convert;Convertir;
modal.inventory.for_me;Pour moi;
modal.inventory.for_other;Pour quelqu'un;
modal.inventory.gift_loading;Récupération des données du cadeau #{gift_id};
modal.inventory.gifts;Mes cadeaux;
modal.inventory.qrcode;Le commerçant va scanner ce qrcode et vous offrir votre cadeau. Il disparaitra de votre inventaire après 1 minute.;
modal.inventory.scanner_help;Placez un Qr Code provenant d'un cadeau envoyé à un autre utilisateur;
modal.inventory.sell;Vendre;
modal.inventory.sent;"Cadeau de <span class=""username"">{name}</span>";
modal.inventory.title;Inventaire;
modal.inventory.total;Total;
modal.inventory.value;Valeur;
modal.inventory.wallet;Mon porte-monnaie;
modal.flash_user.add_multiples_to_lists;Quand les utilisateurs accepteront votre demande, ils seront ajoutés à la liste;
modal.flash_user.add_to_lists;Quand l'utilisateur acceptera votre demande, il sera ajouté à la liste;
modal.flash_user.message_placeholder;Ceci est une demande d'ajout;
modal.search.distance;Moins de;
modal.search.group;un groupe;
modal.search.help.address;Vous pouvez mettre la ville ou la région.;
modal.search.help.birthdate;jour/mois/année ou année seulement;
modal.search.help.selectedBirthdate;Date reconnue: {date};
modal.search.individual;un membre;
modal.search.members;Aucun membre | {n} membre | {n} membres;
modal.search.name_length;Le @:user.name doit contenir au moins 2 caractères;
modal.search.no_result;La recherche n'a donné aucun résultat;
modal.search.or;ou;
modal.search.results;Résultats de la recherche :;
modal.search.search;Rechercher;
modal.search.search_name;Donner un nom à cette recherche;
modal.search.search_saved;La recherche a été sauvegardée;
modal.search.title;Nouvelle Recherche;
modal.new_photo.action_sheet_title;Que voulez-vous faire ?;
modal.new_photo.add;Ajoutez une photo;
modal.new_photo.capture;Prendre une nouvelle photo;
modal.new_photo.capture_video;Prendre une nouvelle video;
modal.new_photo.select;Choisir depuis la photothèque;
modal.new_photo.title;Nouvelle photo;
modal.photo_details.confirm_user_picture;Votre photo de profil a été changée !;
modal.photo_details.move_to_album;Déplacer dans un album;
modal.photo_details.moved_to_album;Déplacée dans l'album;
modal.photo_details.set_user_picture;Définir comme photo de profil;
modal.photo_details.title;Détails;
modal.discussion.delete_discussion;Supprimer la discussion;
modal.discussion.edit_users;Gérer les participants;
modal.discussion.name;Nom de la discussion;
modal.discussion.public;Publique;
modal.discussion.quit_discussion;Quitter la discussion;
modal.discussion.requests;Demandes en attente;
modal.discussion.view_requests;Voir les demandes en attente;
modal.conversation.delete_conversation;Supprimer la conversation;
modal.conversation.delete_messages;Supprimer des messages;
modal.conversation.expiration_title;Autodestruction du message;
modal.my_activity.title;Mon activité;
modal.discussion_users.current;Participants actuels;
modal.discussion_users.new;Ajouter les participants;
modal.ads.add_success;Bon plan créé avec succès;
modal.ads.add_title;Créer un bon plan;
modal.ads.buy_credits;Acheter des crédits;
modal.ads.choose_target;Choix de la cible:;
modal.ads.cost_credit;Coût: {cost} crédit(s);
modal.ads.credit_bought;Crédits achetés !;
modal.ads.lack_credit;Il vous manque {count} crédit(s).;
modal.ads.length_days;Durée en jours:;
modal.ads.no_searches;Vous devez enregistrer une recherche afin de pouvoir la sélectionner comme cible de votre bon plan.;
modal.ads.number_targets;Nombre de personnes ciblées: {numberTargets};
modal.ads.photo_btn;Choisir votre visuel;
modal.ads.photo_helper;Si votre support de communication est au format PDF, ouvrez-le sur votre mobile et faites une capture d'écran pour pouvoir utiliser l'image sur Didab.;
modal.ads.title;Bons Plans;
modal.ads.your_credit;Votre crédit: {credit};
modal.photos.title;Photos;
modal.gifts.sent;"<span class=""username"">{name}</span> vous a envoyé un cadeau:";
modal.gifts.title;Mes cadeaux;
modal.offer_gift.buy;Objet ajouté à votre inventaire;
modal.offer_gift.custom_gift;{count} utilisateurs sélectionnés;
modal.offer_gift.for_me;Pour moi;
modal.offer_gift.for_user;Pour {name};
modal.offer_gift.lists;Listes;
modal.offer_gift.message;Message;
modal.offer_gift.searches;Recherches;
modal.offer_gift.sent;Cadeau envoyé !;
modal.offer_gift.title;Offrir un cadeau;
modal.offer_gift.user_pack;{count} utilisateurs;
modal.offer_gift.users;Utilisateurs;
modal.new_status.edit_title;Modifier statut;
modal.new_status.everybody;Tout le monde;
modal.new_status.expired_at;S'autodétruira le :;
modal.new_status.expired_in;S'autodétruira dans :;
modal.new_status.only;Uniquement;
modal.new_status.ratable;À noter par :;
modal.new_status.title;Nouveau statut;
modal.new_status.visible_to;Visible par :;
modal.kyc.added;Ajouté;
modal.kyc.country_of_residence;Pays de résidence;
modal.kyc.file_too_big;Le fichier dépasse 10Mb.;
modal.kyc.identity_proof;Document d'identité;
modal.kyc.identity_proof_desc;Tel qu'un permis de conduire ou un passeport.;
modal.kyc.nationality;Nationalité;
modal.kyc.title;Identité;
modal.kyc.verification_pending;Votre demande de vérification est en attente.;
modal.kyc.verification_sent;Votre demande de vérification a été envoyée.;
modal.kyc.verify;Verifier mon profile;
modal.conversations.new;Nouveau message;
modal.conversations.receiver;Destinataire;
modal.conversations.title;Messages;
modal.my_status.new;Nouveau statut;
modal.my_status.publish;Vous avez publié un statut :;
modal.my_status.title;Mes Statuts;
modal.edit_user.add_to_lists;Ajouter l'utilisateur aux listes;
modal.edit_user.create_new_list;Créer une nouvelle liste;
modal.edit_user.existing_lists;Listes existantes;
modal.edit_user.in_lists;L'utilisateur est présent dans les listes;
modal.edit_user.remove_from_lists;Supprimer de mes listes;
modal.edit_user.remove_from_lists_message;Attention {name} n'est placé dans aucune liste, si vous validez, vous le supprimerez de vos contacts.;
lang.fr;Français;
search;Rechercher;
address.city;Ville;
address.country;Pays;
address.line1;Adresse ligne 1;
address.line2;Adresse ligne 2;
address.region;Région;
address.zip_code;Code postal ;
modify;Modifier;
unit.day;jour;
unit.days;jours;
unit.hour;heure;
unit.hours;heures;
unit.infinite;infini;
unit.minute;minute;
unit.minutes;minutes;
unit.month;mois;
unit.months;mois;
unit.second;seconde;
unit.seconds;secondes;
type.professional;Commerçant;
type.user;Utilisateur;
close;Fermer;
user.address;Adresse postale;
user.birthdate;Date de naissance;
user.birthdate_hint;Les personnes de moins de 13 ans ne sont pas autorisées à utiliser Didab;
user.email;Email;
user.first_name;Prénom;
user.geolocation;Autorisez Didab à me geolocaliser;
user.lang;Langue de l'application;
user.last_name;Nom;
user.maiden_name;Nom de jeune fille;
user.member_id;Numéro de membre;
user.name;Pseudo;
user.password;Mot de passe;
user.passwordConfirm;Confirmation du mot de passe;
user.phone_number;Téléphone;
user.sex;Civilité;
user.shop_type;Type de commerce;
user.status;Statut;
user.type;Compte;
not_allowed;{name} ne vous autorise pas cette fonction;
delete;Supprimer;
field.family;famille;
field.humor;humour;
field.waiting_time;délai;
field.sexual_orientation;orientation sexuelle;
field.modernity;modernité;
field.advice;conseil;
field.attendance;assiduité;
field.strength;force;
field.punctuality;ponctualité;
field.intellect;intelligence;
field.live_at;habite à;
field.dynamism;dynamisme;
field.helpfulness;serviabilité;
field.ambition;ambition;
field.hair_size;taille des cheveux;
field.ethnicity;origine ethnique;
field.ability;compétence;
field.curiosity;curiosité;
field.listening;à l'écoute;
field.muscular_mass;masse musculaire;
field.planned;ce que je prévois;
field.body_beauty;beauté corps;
field.sportsmanship;sportivité;
field.after-sales_service_department;service après-vente;
field.sex;@:user.sex;
field.hair_color;couleur des cheveux;
field.distance;Distance;
field.ass_beauty;beauté fesses;
field.fashion_style;style vestimentaire;
field.service;service;
field.status;statut;
field.optimism;optimisme;
field.age;Âge;
field.hair_type;type de cheveux;
field.public_spirit;civisme;
field.money;argent;
field.height;taille;
field.reception;accueil;
field.weight;poids;
field.eye_beauty;beauté yeux;
field.type;Type;
field.interests;centres d'intérêts;
field.hygiene;hygiène;
field.communication;communication;
field.bravery;courage;
field.fat_mass;masse graisseuse;
field.work_at;travaille à;
field.creativity;créativité;
field.accuracy;précision;
field.sympathy;sympathie;
field.hair_beauty;beauté cheveux;
field.availability;disponibilité;
field.face_beauty;beauté visage;
field.eye_color;couleur des yeux;
field.chest_beauty;beauté poitrine;
field.flexibility;souplesse;
field.stamina;endurance;
field.autonomy;autonomie;
field.know-how;savoir-faire;
field.general_beauty;beauté générale;
field.charisma;charisme;
dateFormat;DD/MM/YYYY;
help.add.message;"Vous devez ajouter <span class=""username"">{name}</span> afin d'accéder à cette fonctionnalité.";
help.add.title;Ajouter;
help.center.message;C'est ici que vous retrouverez l'activité des membres affichés dans votre village.;
help.center.title;Centre du village;
help.filter.message;C'est à l'aide de cette fonction que vous affichez quelle(s) liste(s) de membres apparaît dans votre village.;
help.filter.title;Filtre;
help.fire.message;Allumer un feu manifeste votre envie de discuter.;
help.fire.title;Feu de camp;
help.gauge.message;{user} vous demande de noter une de ses publications.;
help.gauge.title;Notation;
help.list.message;Chaque membre du réseau peut être visible. À vous de placer ces membres dans une ou plusieurs listes de votre choix.;
help.list.title;Mes listes;
help.myHouse.message;C'est ici que vous gérez votre profil, votre activité et vos contacts.;
help.myHouse.second_message;Vous pouvez personnaliser votre maison depuis le menu.;
help.myHouse.title;Ma maison;
help.others.message;Note que les utilisateurs vous donneront;
help.others.message_other_house;Note reçue par les autres utilisateurs;
help.others.title;Selon les autres;
help.others.title_other_house;Selon les autres;
help.profile.message;Pour le moment, vos caractéristiques sont visibles et à noter par tout le monde. Pour chaque information, vous pouvez modifier ces paramètres et ainsi choisir qui peut y avoir accès.;
help.profile.title;Conseil @:modal.my_profile.title;
help.self.message;Notez-vous;
help.self.message_other_house;La note que {name} s'est donné;
help.self.title;Selon vous;
help.self.title_other_house;Selon {name};
help.visible.message;Il se peut qu'une de vos anciennes connaissances n'ait que cette information pour vous retrouver sur DIDAB. Si vous la rendez visible uniquement à vos listes, cette personne ne pourra pas vous trouver avec la fonction recherche.;
help.visible.title;Conseil visibilité;
errors.addedToList.error;Une erreur est survenue lors de l'ajout de l'utilisateur à la liste {name};
errors.ads.add;Une erreur est survenue lors de la publication du bon plan;
errors.ads.price;Une erreur est survenue lors de la récupération du prix;
errors.album.add;Une erreur est survenue lors de la sauvegarde de votre album;
errors.comment.add;Une erreur est survenue lors de la publication du commentaire;
errors.discussions.add;Une erreur est survenue lors de la création de la discussion;
errors.flash.blocked;Impossible d'envoyer une demande à {userName}, il / elle vous a bloqué;
errors.flash.error;Une erreur est survenue lors de l'envoi de la demande;
errors.forgotten_password.error;Une erreur est survenue lors de la récupération du mot de passe;
errors.generic;Une erreur est survenue.;
errors.houses.error;Une erreur est survenue lors de la récupération des maisons autour de vous;
errors.inventory.get;Une erreur est survenue lors de la récupération des informations;
errors.inventory.scan;Une erreur est survenue lors du scan de Qr code;
errors.inventory_convert.convert;Erreur lors de la conversion.;
errors.inventory_sell.sell;Erreur lors de la vente.;
errors.kyc.verify;Une erreur est survenue lors de la demande de vérification;
errors.list.add;Une erreur est survenue lors de la création de la liste;
errors.list.delete;Une erreur est survenue lors de la suppression de la liste {name};
errors.lists.error;Une erreur est survenue lors de la récupération des listes;
errors.login.bad_password;Mot de passe incorrect;
errors.login.email;Email valide requis;
errors.login.error;Une erreur est survenue lors de la connexion;
errors.login.no_email;L'email saisie n'existe pas chez Didab;
errors.login.password;Mot de passe requis;
errors.no_connection.offline;Didab n'a pas accès à internet. Avez-vous activé votre wifi ou vos données mobiles ?;
errors.offer_gift.no_list;Aucune de vos listes ne contient d'utilisateur.;
errors.offer_gift.unavailable;L'objet n'est pas disponible à l'achat actuellement.;
errors.photo.add;Une erreur est survenue lors de la publication de la photo;
errors.photo.duration;La vidéo ne doit pas durer plus de 60 secondes;
errors.photo.edit;Une erreur est survenue lors de la modification de la photo;
errors.photo.move;Une erreur est survenue lors du déplacement de la photo;
errors.photo.pick;Une erreur est survenue lors de la récupération de la photo;
errors.photo.village;Une erreur est survenue lors de la récupération des photos des utilisateurs alentours;
errors.register.address;L'adresse postale est requise;
errors.register.birthdate;La date de naissance est requise;
errors.register.email;Adresse email déjà utilisée;
errors.register.error;Une erreur est survenue lors de l'inscription;
errors.register.getAddress;Impossible de récupérer les détails de l'adresse, veuillez recommencer;
errors.register.lang;La langue est requise;
errors.register.name;Le pseudo est requis;
errors.register.passwordConfirm;Le mot de passe et la confirmation ne sont pas identiques;
errors.register.sex;La civilité est requise;
errors.register.type;Le type de compte est requis;
errors.removedFromList.all;Impossible de retirer l'utilisateur des listes;
errors.removedFromList.error;Une erreur est survenue lors de la suppression de l'utilisateur de la liste {name};
errors.responses.save;Une erreur est survenue lors de la mise à jour du profil;
errors.search.add;Une erreur est survenue lors de la sauvegarde de votre recherche;
errors.status.add;Une erreur est survenue lors de la publication du statuts;
errors.status.edit;Une erreur est survenue lors de la modification du statuts;
errors.status.village;Une erreur est survenue lors de la récupération des statuts des utilisateurs alentours;
errors.withdraw.add_account;Une erreur est survenue lors de l'ajout du compte bancaire.;
errors.withdraw.withdraw;Une erreur est survenue lors de la demande de virement.;
menu.admin_panel;Panel d'administration;
menu.customize;Personnaliser;
menu.logout;Déconnexion;
menu.stats;Statistiques;
fb_login;Connexion via Facebook;
registration_steps.account;Compte;
registration_steps.address;Adresse;
registration_steps.personal_informations;Informations personelles;
commentable.category;une catégorie;
commentable.comment;Votre commentaire;
commentable.commented;Commentaire posté!;
commentable.myphoto;votre photo;
commentable.mystatus;votre statut;
commentable.photo;une photo;
commentable.response;une réponse;
commentable.status;un statut;
tooltips.address;Si vous ne souhaitez pas être localisé précisement, entrez l'adresse de votre mairie.;
tooltips.geolocation;Vous pourrez désactiver cette fonction ultérieurement.;
reportable.already_reported;Vous avez déjà signalé ce contenu.;
reportable.reported;Signalement envoyé, merci 👍;
reportable.text_message;Voulez-vous signaler ce message ?;
reportable.text_photo;Voulez-vous signaler cette photo ?;
reportable.text_post;Voulez-vous signaler ce message ?;
reportable.text_status;Voulez-vous signaler ce status ?;
reportable.title;Signaler;
reportable.title_already_reported;Déjà signalé;
return;Retour;
share.on_didab;Sur Didab;
share.others;Autres partages;
share.shared;Contenu partagé avec succès !;
share.title;Partage;
next;Suivant;
comment;Commenter;
cancel;Annuler;
send;Envoyer;
validate;Valider;
delete_user;Supprimer Utilisateur;
accept_flash;Accepter;
